created_at,entry_id,field1
2017-10-06 17:35:01 UTC,10,148
2017-10-06 17:35:45 UTC,11,181
2017-10-06 17:36:29 UTC,12,225
2017-10-06 17:36:45 UTC,13,1
2017-10-06 17:37:09 UTC,14,1
2017-10-06 17:37:42 UTC,15,34
2017-10-06 17:38:21 UTC,16,67
2017-10-06 17:38:53 UTC,17,104
2017-10-06 17:39:28 UTC,18,5
2017-10-06 17:40:03 UTC,19,42
2017-10-06 17:40:40 UTC,20,77
2017-10-06 17:41:09 UTC,21,110
2017-10-06 17:41:42 UTC,22,143
2017-10-06 17:42:16 UTC,23,176
2017-10-06 17:42:49 UTC,24,210
2017-10-06 17:43:09 UTC,25,4
2017-10-06 17:43:42 UTC,26,37
2017-10-06 17:44:16 UTC,27,71
2017-10-06 17:44:51 UTC,28,104
2017-10-06 17:45:25 UTC,29,140
2017-10-06 17:45:59 UTC,30,173
2017-10-06 17:46:38 UTC,31,207
2017-10-06 17:47:09 UTC,32,4
2017-10-06 17:47:43 UTC,33,37
2017-10-06 17:48:21 UTC,34,72
2017-10-06 17:48:56 UTC,35,111
2017-10-06 17:49:30 UTC,36,145
2017-10-06 17:50:07 UTC,37,179
2017-10-06 17:50:38 UTC,38,213
2017-10-06 17:51:13 UTC,39,248
2017-10-06 17:51:56 UTC,40,282
2017-10-06 17:52:42 UTC,41,325
2017-10-06 17:53:22 UTC,42,2
2017-10-06 18:04:38 UTC,43,3
2017-10-06 18:05:13 UTC,44,36
2017-10-06 18:07:21 UTC,45,3
2017-10-06 18:07:54 UTC,46,36
2017-10-06 18:08:14 UTC,47,3
2017-10-06 18:08:48 UTC,48,36
2017-10-06 18:09:21 UTC,49,69
2017-10-06 18:09:55 UTC,50,102
2017-10-06 18:10:36 UTC,51,136
2017-10-06 18:12:37 UTC,52,262
2017-10-06 18:13:12 UTC,53,300
2017-10-06 18:13:47 UTC,54,334
2017-10-06 18:14:20 UTC,55,368
2017-10-06 18:14:56 UTC,56,402
2017-10-06 18:15:31 UTC,57,437
2017-10-06 18:16:04 UTC,58,472
2017-10-06 18:16:37 UTC,59,506
2017-10-06 18:17:12 UTC,60,539
2017-10-06 18:21:46 UTC,61,4
2017-10-06 18:22:20 UTC,62,37
2017-10-06 18:38:34 UTC,63,1
2017-10-06 18:39:19 UTC,64,41
2017-10-06 18:39:53 UTC,65,83
2017-10-06 18:40:33 UTC,66,118
2017-10-06 18:41:13 UTC,67,157
2017-10-06 18:41:54 UTC,68,198
2017-10-06 18:42:28 UTC,69,239
2017-10-06 18:43:06 UTC,70,273
2017-10-06 18:43:43 UTC,71,311
2017-10-06 18:44:23 UTC,72,349
2017-10-06 18:45:01 UTC,73,388
2017-10-06 18:45:48 UTC,74,427
2017-10-06 18:46:24 UTC,75,474
2017-10-06 18:47:07 UTC,76,508
2017-10-06 18:47:41 UTC,77,551
2017-10-06 18:48:15 UTC,78,586
2017-10-06 18:48:51 UTC,79,620
2017-10-06 18:49:26 UTC,80,656
2017-10-06 18:49:59 UTC,81,690
2017-10-06 18:50:36 UTC,82,724
2017-10-06 18:51:13 UTC,83,760
2017-10-06 18:51:55 UTC,84,799
2017-10-06 18:52:28 UTC,85,840
2017-10-06 18:53:02 UTC,86,873
2017-10-06 18:53:35 UTC,87,906
2017-10-06 18:54:08 UTC,88,940
2017-10-06 18:54:43 UTC,89,973
2017-10-06 18:55:16 UTC,90,1008
2017-10-06 18:55:49 UTC,91,1041
2017-10-06 18:56:22 UTC,92,1074
2017-10-06 18:56:56 UTC,93,1107
2017-10-06 18:57:29 UTC,94,1140
2017-10-06 18:58:02 UTC,95,1174
2017-10-06 18:58:35 UTC,96,1207
2017-10-06 18:59:08 UTC,97,1240
2017-10-06 18:59:41 UTC,98,1273
2017-10-06 19:00:14 UTC,99,1306
2017-10-06 19:00:48 UTC,100,1339
2017-10-06 19:01:21 UTC,101,1373
2017-10-06 19:01:54 UTC,102,1406
2017-10-06 19:02:29 UTC,103,1439
2017-10-06 19:03:07 UTC,104,1473
2017-10-06 19:04:06 UTC,105,3
2017-10-06 19:04:42 UTC,106,36
2017-10-06 19:05:18 UTC,107,73
2017-10-06 19:05:58 UTC,108,109
2017-10-06 19:06:30 UTC,109,148


